Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address,
70596.85095,6.54,16,1,51614.83014,159947,"0032 Turner Ridge
South Thomas, WA 66562-5367",
67947.39745,7.09,3,2,35681.15262,133635,"6376 Jackson Key
Jonesshire, AZ 55526",
96807.43691,6.18,18,16,29269.13734,180834,"1388 Logan Ports
North Johnstad, SD 46743",
66733.63181,7.4,16,2,35193.2115,142428,"5170 Dakota Meadows
Grossshire, IL 63959-6036",
80665.00157,5.69,18,15,40952.01693,147179,"3109 Campbell Highway
Port Paulfurt, WA 67614",
75378.62764,6.59,13,17,28300.6076,134762,"9552 Brittany Estates
South Douglasmouth, AZ 87584",
65198.94339,7.1,15,12,23580.86919,116374,"17880 Briana Parkways Suite 157
West Blakeview, MI 29268-0734",
78739.2246,6.52,3,13,28884.04164,145062,"16110 Ashlee Lock
Solomonchester, OH 75313-3236",
66697.53134,6.53,8,20,25896.99089,982298,"USS Maynard
FPO AE 60758-7254",
58822.04321,5.13,10,12,34141.83201,868314,"153 Adams Place
Jessicaton, SC 29102",
75093.95694,5.62,3,1,27247.95256,123151,"0824 Cox Centers
East Danielstad, LA 78947",
68709.27916,5.11,1,16,16668.26686,663128,"427 Brittany Point Apt. 285
Edwardhaven, TX 40439-5255",
68192.53017,5.75,20,3,46821.31972,121049,"98894 Michael Landing
Gonzaleztown, TX 16625",
84090.36174,6.41,8,16,25127.54884,140903,"503 Edward Bypass Suite 138
Chambersborough, OR 12706-9089",
69277.75898,5.32,17,15,57408.31289,135638,"1401 Martin Drive Suite 582
South Dennis, NE 67169",
63833.38804,6.93,10,9,28928.91819,112547,"748 Russell Unions
East James, RI 35745",
70698.78409,6.74,4,13,22987.66824,112997,"1220 Ann Stravenue
East Lisa, FM 01139-3975",
68258.10605,4.42,5,5,36205.14863,100364,"239 William Way
Ericton, IN 58422-1731",
62699.43922,6.35,6,9,37816.3377,130636,"0454 Humphrey Forks
North Paulville, NJ 17081",
76933.60611,8.54,16,7,33433.33877,177587,"7504 Wilson Lake Suite 052
Hallfort, RI 91245",
65959.78116,6.66,9,6,29803.17135,103668,"246 Cameron Meadow Apt. 767
South Maryfurt, PA 02596-5120",
78020.03953,7.04,18,19,49601.23864,186992,"35483 Patrick Trail Suite 303
North Jeremy, GA 11382",
69559.4963,6.52,7,20,42013.7324,138108,"PSC 8601, Box 1581
APO AA 41916-7543",
90890.48581,7.51,4,9,45519.25627,225224,"05117 Williams Isle
Mariaton, DC 32652-0435",
56901.09377,6.8,12,14,13704.35075,787039,"484 Adrian Circles
Aprilberg, OH 84325-9197",
59206.16527,6.04,3,11,28805.35549,957283,"0200 Webb Ports
South Alyssaville, FM 52001-5170",
65302.37247,5.89,2,1,43818.67866,117369,"79816 Jones Glen Apt. 117
Richardland, TN 90546-5133",
86369.24033,7.12,13,7,43683.30256,171316,"0267 Martinez Divide
South Brianport, PW 60170",
71499.91566,6.02,13,11,41870.90839,132550,"6034 Stevens Key
Jessicabury, ID 53712",
69312.98192,6.61,19,12,44237.12104,150149,"0229 Andrea Lane Suite 680
Ashleytown, AS 08599-9593",
77797.39496,7.44,6,4,33847.01451,157358,"4595 Moody Plains Suite 844
East Christopherhaven, OH 04150-4444",
55631.29777,5.34,14,19,30884.45099,693566,"583 Barker Point
Adamsport, MP 05206-8557",
70836.01135,7.07,9,1,37047.88256,152458,"Unit 5864 Box 4435
DPO AA 82418",
62152.60603,7.03,18,1,42785.08178,104881,"35191 Perez Lakes Apt. 571
Lawrencefurt, WV 74353",
66919.91548,6.37,12,9,38858.87649,131076,"54032 Davis Prairie Suite 029
Walkermouth, TX 13603",
79868.12243,4.45,13,1,54228.0749,153732,"3186 Michael Glen
New Cody, FM 50294-1790",
73145.4597,6.42,15,7,41209.03078,124488,"360 Cook Road Suite 265
Obrienmouth, OK 05534-6066",
54535.45372,5.27,16,2,30852.20701,732733,"146 Christopher Lights Suite 182
New Kathyside, NC 68483",
72240.12696,4.77,3,5,25012.86978,109580,"0079 Paige Junction Suite 813
South Grace, MT 18138-9365",
47266.34392,5.41,10,15,33421.95541,476006,"1190 Jeffery Key Suite 654
Warrenside, NC 21795-9556",
82551.53961,7.74,7,6,40086.08586,159991,"USNV Murphy
FPO AE 22020-0133",
72232.36595,5.79,4,13,49668.50107,167582,"9067 Flynn Mills Apt. 904
North Stevenland, WY 91580",
71624.58537,5.64,13,17,29089.78359,117586,"9822 Theresa Spur Suite 629
North Vicki, AR 88326",
71670.4485,6.63,16,11,31709.34046,113507,"6055 Theresa Knoll
South Garrett, FM 08472",
86157.17573,4.98,9,7,62963.75539,183320,"1427 Jennifer Landing
Blairfurt, TX 86287-9948",
82416.13226,5.37,16,11,15290.31706,112034,"97242 Kayla Forges
Smithfurt, MA 85494",
69566.74303,5.78,5,13,37491.14691,108073,"532 Tanner Forest
North Andrew, UT 94792",
66684.34727,5.55,13,12,37226.30715,116857,"8961 Guerra Motorway
Stephensburgh, AR 59803",
71743.48382,8.18,10,6,44674.89103,191969,"06874 Scott Causeway
Melissastad, FL 21288-1643",
55473.73632,6.36,18,2,48021.89287,146660,"USS Steele
FPO AE 47380-9293",
66261.61649,7.11,11,16,26264.32179,123403,"2843 Benjamin Lights
West Stacy, NJ 76379",
65380.31624,7.52,2,7,21641.4762,126948,"4896 Sandoval Plaza Suite 098
New Robertchester, KY 58588-4690",
73431.52793,6.37,13,16,31148.10331,117611,"736 Juan Fall Suite 950
Christianmouth, MS 32548",
76169.72844,5.77,18,14,50352.41648,137129,"388 Hudson Views Suite 672
Dylanshire, GA 06408",
72630.65101,5.36,7,16,34119.16671,124650,"8592 Tanner Junctions
Port Patriciastad, OR 41830-1527",
64601.80273,6.03,11,18,24117.45838,102026,"18780 Park Locks
West Douglasborough, DE 70878-3747",
55995.00731,7.79,7,11,20895.67945,113041,"43116 Taylor Drives Suite 771
North Michael, TX 96312",
58301.73272,4.92,6,6,32759.44783,890559,"USCGC Harris
FPO AE 57943-1887",
66579.51999,7.86,14,2,35826.71023,141715,"463 Green Street Apt. 202
Alicefurt, MP 05063",
73829.77774,6.13,15,5,51385.52324,137649,"PSC 8985, Box 4540
APO AP 99342-8231",
86640.8016,6.04,15,15,22432.13983,130620,"542 Fleming Lakes Suite 229
Lake Jenniferborough, OK 25958-8585",
80535.00342,5.65,5,3,25691.68458,127520,"8664 Barbara Ways Suite 599
East John, TX 89790-2123",
51474.30702,5.57,9,11,38952.18917,902520,"086 Pham Plains
Michaelhaven, TN 89309-1566",
69333.68219,5.92,9,14,17187.11819,872312,"675 Baldwin Well
Larsenside, PR 93064-3226",
55554.79675,5.84,12,1,44903.44532,994517,"206 James Point
Leslieville, NV 63556",
64055.28418,7.55,11,4,27804.60516,128900,"Unit 7578 Box 5315
DPO AP 21782",
76811.40182,7.93,10,1,27770.24891,161000,"338 Karen Prairie Apt. 341
Murphymouth, MI 56611",
78030.06933,7.07,13,6,42432.70958,184372,"838 Hunter Mountains Apt. 655
Lake Jessicashire, TN 18218",
76921.67563,7.39,19,16,44920.65789,189194,"935 Norris Walks
New Joshua, PA 84565-5279",
63833.84316,5.66,6,20,34481.67331,145107,"USCGC Johnson
FPO AA 08988",
69120.09299,6.72,4,10,36631.92686,148194,"Unit 6352 Box 4009
DPO AE 83854-5561",
65454.97423,4.44,11,4,47740.63899,114447,"18153 Michelle Street Apt. 150
North Julieburgh, CT 81526-8507",
53067.1696,7.79,14,9,46132.75451,127994,"55158 David Garden Suite 849
Joshuashire, NH 08358",
59519.20835,6.16,1,2,42176.86419,119302,"53197 Rowe Brooks
Anthonybury, DC 36875",
64724.68649,7.22,13,20,43833.66369,116711,"11769 Vaughan Lakes Apt. 083
East Daniel, VI 57715",
83936.74963,6.68,1,19,25569.36831,122561,"065 Christine Stream
Lake Sarah, NY 49190",
70298.13952,6.57,10,19,33457.74573,113161,"21680 Jeffrey Heights Apt. 199
Davismouth, ND 55667-5634",
79337.32565,6.26,9,11,41521.38461,169750,"8538 Johnson Lodge
West Sharonberg, NJ 82474-6273",
63578.82315,5.78,18,16,42322.61326,136549,"USCGC Anthony
FPO AE 75578-8273",
65124.65602,4.88,13,4,19161.7809,622449,"6859 Brown Forges Apt. 352
Schultzstad, VT 26911",
84364.70733,4.69,9,8,50521.10423,155109,"8285 Thompson Spring Apt. 597
East Stephanie, NY 77685",
76287.4682,6.65,13,11,35212.74388,129912,"USS Jones
FPO AP 83668-4924",
56433.01085,6.47,11,11,46058.86914,129032,"4025 Roberson Turnpike Suite 615
Brianburgh, TN 31726-6186",
83406.74332,5.28,1,19,25350.73547,118388,"32631 Lucero Trafficway
Joshuaborough, WI 15469-7710",
74867.50582,5.56,5,6,33768.51285,130593,"98193 Pierce Crest
Lake Michaelfurt, KY 99821-3879",
55698.37442,6.95,18,13,49506.83061,127911,"PSC 6252, Box 5970
APO AE 99235",
59575.62144,4.03,13,12,37153.85262,786559,"54194 Richard Mall
Johnfurt, SD 79157",
69605.56602,7.58,19,1,35427.14865,158819,"74421 Horton Manor Apt. 121
Lake Edward, SC 75278",
67663.97161,4.66,1,17,30546.448,976649,"567 Gomez Hills
Amyville, NM 92900",
75354.4149,6.77,17,5,21574.47109,125086,"7844 Juarez Green
Melissaview, KS 67281",
63750.21601,5.52,18,2,40582.00027,104662,"17488 French Prairie Suite 496
East Williamburgh, GU 44258-8729",
72263.21441,5.91,11,12,28428.30127,111593,"60205 Tammy Corner Apt. 791
West Lisastad, HI 54302-1058",
69246.15092,5.76,9,7,35005.79155,107781,"451 Pratt Walk
West Josephchester, OH 68420-3256",
65465.53989,5.8,9,19,31297.52713,104768,"88878 Ramirez Street
Fordville, NV 54980",
107701.7484,7.14,1,5,37619.43993,233211,"41017 Eric Village
Jonathanport, CO 37205",
58829.37333,6.84,6,13,31236.58232,956435,"8136 Lopez Cove Suite 606
Thomasview, MD 87052-0869",
94650.54944,7.19,16,11,27797.78112,189262,"3232 Martinez Spurs Suite 594
Paulview, IL 73971-9525",
49851.13478,4.68,19,4,32511.84627,283208,"03837 Burton Run Apt. 741
North Casey, HI 32920",
61522.93112,6.15,7,4,30398.57294,117602,"249 Wall Stream Suite 514
Lake Cynthiaville, WY 10462",
59082.00095,4.98,11,12,33462.67269,783818,"776 Shawna Port Suite 508
Burkeshire, DE 16725-8223",
80732.1713,8.15,1,7,28954.69773,162570,"4131 Jones Neck Apt. 808
Lake Jamesmouth, VI 37688",
88222.04239,6.98,10,11,34795.32008,196184,"9951 Kevin Knoll Apt. 557
Piercefort, CT 70599",
70651.68514,5.47,4,20,35339.56993,108455,"70172 Harding Burgs
New Elizabeth, GA 31809-6568",
79289.10799,6.04,13,18,41321.11197,142824,"99993 Miller Mall
North Shelbyview, CO 19948-1105",
73969.66467,6.44,11,6,39663.85423,163494,"23210 Vaughn Plaza
Patrickview, FM 32471-7299",
62857.07813,5.06,10,17,48339.9406,915992,"2061 Edward Circles Suite 191
Lindseyborough, GU 82013",
72991.48165,3.41,9,10,50626.49543,104237,"0618 Richardson Mountain Apt. 253
Jasmineport, DC 78574",
62794.96597,4.2,10,16,31162.06331,879618,"54038 Warner Mall Suite 306
Sarahmouth, SD 61528",
71806.36195,5.72,18,5,47563.23158,121043,"13963 Anderson Fork
Port Dawnside, NV 79521",
69584.65691,5.36,5,17,17045.80773,105926,"27634 Bell Mission Apt. 748
Whiteshire, FM 13329-8305",
62357.03095,6.72,5,5,23382.53939,972417,"PSC 9682, Box 5865
APO AA 11465",
59716.73664,5.44,3,13,41273.00907,124297,"7099 Shane Trail Apt. 259
Pinedaborough, GU 91864-3525",
71093.69196,5.87,13,19,37143.39873,109684,"19371 Laura Mountain
South Sergioshire, PA 45947",
76336.06984,5.57,1,6,37258.19982,139268,"69486 Brenda Island Apt. 827
Sarahborough, CT 52727",
54762.0543,3.8,7,4,58460.27986,108046,"84075 Jeffrey Tunnel
South Amymouth, KS 13318-7131",
61666.1515,5.77,6,1,34605.02957,821413,"4484 Estes Bypass
Bradleystad, FM 70703",
92280.49747,7.25,11,12,38004.14521,223777,"9032 Hernandez Passage
Lake Karenstad, NY 24477-7673",
74312.89823,5.54,17,1,43906.74417,151831,"067 Lucas Walks Suite 450
East Marcland, VI 00144-8724",
70026.92525,6.07,1,8,38102.46556,150355,"171 Wayne Flat Apt. 324
Bartlettside, IL 19674",
68524.19436,6.31,11,13,48112.39408,121915,"85915 James River
Leblancfort, TN 61922-6111",
87927.96606,5.58,8,15,34724.16282,127625,"01358 Barton Ranch
Lawrenceborough, SD 60884-8281",
74082.02275,6.75,15,18,32617.47347,140049,"4120 Jason Path
Lake Rebeccafort, ME 80907-9585",
72245.3376,6.09,7,17,25508.78544,112717,"271 Larson Corners Apt. 496
Andreaburgh, TX 00062",
63555.45973,5.22,15,17,41839.48396,125166,"502 Willis Village Apt. 935
Port Lawrence, IN 49301",
74170.66239,5.85,9,4,40719.23735,146935,"158 Christina Junctions Suite 137
North Justin, HI 69723-6199",
70005.69443,4.91,3,6,25136.21543,946556,"93827 Gonzalez Rest Suite 278
Luisville, MH 13877-8429",
67547.87107,6.52,11,10,28131.71902,115065,"639 James River Suite 931
West Denise, KY 32288",
61776.61566,6.83,7,1,27970.52173,132581,"999 Lewis Fork
South Stephanie, WV 50293-8967",
69200.66427,5.6,5,12,31085.32304,115009,"976 Tamara Course Suite 169
South Donna, MP 27394-3313",
66887.15243,6.03,13,4,23806.23576,100914,"652 Debra Ramp Suite 784
Port Stefanieside, KY 51547",
83201.02149,6.37,11,20,43837.42476,170527,"45434 Craig Shore
West Justin, AK 33316",
59944.64516,5.57,16,9,28999.12825,829794,"4788 Kristen Bypass Suite 131
West Michael, SC 22980",
53676.37215,6.01,15,12,47027.06248,104644,"7655 Weber Square
New Jaclyn, MT 85582",
64074.96149,5.43,11,1,40211.10647,115226,"Unit 6626 Box 7561
DPO AP 16790",
77324.39733,4.73,18,20,32839.90146,109147,"3269 Sherri Corner
New Jonathan, MS 39820-0357",
76870.35628,5.35,3,20,25655.86712,103991,"60046 Destiny Port Suite 618
North Nataliehaven, WV 64258",
55897.31438,3.99,12,1,31094.11082,565732,"79244 Lee View Suite 312
Wendyton, MO 11893-3330",
87765.52423,5.4,19,7,39910.33971,173962,"168 Phillips Row
New Emily, CO 16308-7553",
78331.93253,5.89,17,2,31032.85907,144212,"3350 Morris Road Suite 424
Maymouth, DC 48494",
74569.85807,3.74,20,1,39183.9578,100412,"8850 April Lock Suite 431
North Janet, AR 53662-0663",
87314.63582,5.07,4,8,25224.64592,114362,"639 Christopher Squares Suite 686
Reneetown, GA 47710",
78019.85596,4.61,9,7,36689.234,106024,"234 Mary Vista
Port Jenniferhaven, AS 50660-3651",
64432.61434,6.95,18,15,50851.06038,154896,"3133 Stacey Mountains Suite 240
East Kayla, AK 86549-5044",
74332.85047,5.28,1,13,30212.43884,105698,"7004 Monica Locks Apt. 668
Brownmouth, PR 36675",
74664.33664,7.79,9,3,23817.9026,144735,"4241 Reed Keys Apt. 890
Snyderburgh, MI 24927",
73406.21728,5.53,3,10,38073.5192,125156,"2758 Harris Canyon Apt. 514
Bakerburgh, PA 60893",
58464.30507,4.96,9,11,25157.45429,751969,"024 Caleb Parkways
East Matthewborough, LA 94636",
61600.92573,4.91,20,12,37457.80723,764955,"5274 Brown Ridge Apt. 421
East Robintown, DE 26378-8119",
75155.18265,5.82,12,18,51562.59493,153995,"1157 Jasmine Grove Apt. 934
East Craigside, AZ 99194-1973",
67828.91266,5.61,9,13,27127.62794,962747,"39341 Wise Ports
Lake Laura, KY 62351-5064",
50144.73988,6.12,13,5,43233.325,135385,"781 Townsend Mountains Suite 207
Joneston, NY 22169-4842",
86557.25246,5.01,13,3,42757.44428,185052,"5442 Mcdaniel Hill
South Joe, TN 50468-3763",
87733.86256,5.66,2,5,43943.47926,177841,"3034 Sarah Stream
West Patricia, CT 37525",
65846.40694,7.31,8,7,22355.22119,136900,"939 Atkinson Vista Suite 208
Kennethton, GU 36352-1328",
45551.40297,6.91,10,12,49839.32178,119797,"27317 Lloyd Radial Apt. 985
South Kevinview, NJ 72757-4701",
89946.9002,6.6,12,4,40502.7397,193014,"03913 Brian Skyway Suite 719
East Michaelfort, FL 88693-1834",
72792.67074,7.83,13,16,34104.36601,148194,"8339 Claudia Port
Brianberg, LA 70084",
68709.10049,5.99,13,18,31659.70025,134757,"900 Eileen Prairie Suite 346
South Melissa, WV 86173-2956",
87506.73197,5.43,14,12,32699.65258,135864,"20330 Kendra Throughway Apt. 798
South Timothyville, OH 90558-4977",
62862.48802,4.6,14,11,37254.69839,931768,"4468 Haley Meadow Suite 401
Amandamouth, LA 51503-8671",
59054.13026,5.35,3,1,51384.43323,120596,"6879 Rogers Squares
Port Christine, PR 15758-2368",
45978.39092,5.21,1,10,36062.78846,792146,"497 Olson Rue
Port Scottbury, MD 24573",
80281.41683,6.21,13,10,45424.22353,161867,"363 Meyers Island
Lake Iantown, MP 83262-3375",
65908.73975,5.29,19,12,24080.58935,864446,"907 Maria Branch
Jamesport, VT 98208-9060",
55930.14482,5.53,5,13,24898.73888,662630,"559 Megan Summit Suite 325
Obrienmouth, OR 18396",
77587.94723,6.13,7,5,37280.44201,148514,"2326 Amy Plains Suite 061
Dawnfurt, SD 64522-9268",
62636.8301,5.86,6,12,51456.29763,104722,"84212 Christopher Knoll Suite 747
Codymouth, ID 33963-6108",
76142.11983,4.05,5,9,41931.4683,139279,"96599 Santos Causeway Apt. 231
Port Paula, MA 16824",
63524.21761,6.29,20,14,48123.70594,943575,"136 Brown Mills Apt. 509
Fletcherfort, IL 45521",
85673.3062,6.59,18,3,33110.5602,179339,"59400 Theresa Well Suite 331
South Sandraland, MN 59076",
49268.37307,6.26,16,6,41349.04041,881273,"USNV Hall
FPO AP 47103-2429",
87978.41434,8.15,17,16,39586.43071,213871,"926 Rose Rapids Suite 479
South Jacob, AL 52129",
78785.27727,6.6,18,1,33603.48416,154086,"99061 Justin Mission Suite 452
Johnhaven, OR 27004-7494",
79271.90498,8.36,2,11,28904.21789,170765,"2627 Ford Spurs Suite 995
Christopherton, KY 30003-0171",
62755.45277,6.1,17,1,41525.3777,102570,"713 Jason Plaza Apt. 927
Coreymouth, MA 50325",
81944.65491,6.06,14,15,34262.32384,154118,"6975 Gabrielle Shores
Lake Kelseyland, CO 77085-1324",
67384.00037,7.22,2,5,48918.05536,193034,"9380 Kimberly Mission Apt. 786
Buckmouth, PW 12882-2996",
67282.57297,5.99,18,7,42768.9123,148114,"9131 Cline Prairie Suite 607
West Trevor, ND 38795-2007",
57869.98449,5.13,3,19,44474.70188,109972,"05589 Aaron Prairie
Bakerbury, MP 64630-4394",
64967.78483,7.05,6,4,28164.22161,119086,"917 Black Prairie
West Elizabeth, OH 04452",
69700.74131,6.57,2,16,21934.89864,107031,"8649 Elizabeth Hill
Port Erin, WY 52957-5435",
74490.63924,5.4,12,15,35563.45613,135821,"238 Julie Parks
Christopherton, NH 95146",
54827.03231,7.04,17,8,45027.11401,119872,"59647 Matthew Harbors
Sheilashire, OK 81154-7934",
74369.6686,6.84,6,10,45991.85697,177471,"PSC 9368, Box 6505
APO AA 78606",
81357.86976,6.09,2,14,51019.21242,153890,"0052 Murphy Motorway
New Maria, TN 69580-8439",
73185.62021,5.81,20,3,54680.64442,146236,"Unit 1448 Box 4395
DPO AA 25685",
53526.93343,4.58,5,10,51611.11364,953261,"64535 Billy Mountain
Moseston, TN 48447-9761",
64736.28408,6.86,8,13,47717.13619,142710,"7956 Cassandra Union
Lake Ann, OR 51456",
68488.61746,4.74,16,9,28298.49476,769576,"08119 Regina Hollow
Ianport, SC 23292-5020",
49424.26712,7.05,18,13,18656.64243,668255,"02795 Wendy Point
West Shannon, DE 72326-4625",
62032.95947,5.23,2,9,25267.10761,800809,"1728 Erickson Ferry Apt. 348
Johnborough, WY 10598-1489",
64506.79006,6.38,19,12,41521.43993,142720,"57349 Paul Wall
Port Kelly, MD 28873-9792",
51178.14802,6.59,18,19,31822.06604,783566,"74931 Rogers Wall
Julianfurt, IN 78140",
64290.20571,3.64,15,11,54157.29516,949072,"519 Avila Road
Jamesbury, SC 76217-0455",
61482.24479,7.09,14,3,50245.27162,169359,"53979 Derek Road
Carrieville, DC 45078-8600",
70130.56063,8.19,2,4,26794.25502,167555,"72654 Jason Plaza
South Crystalburgh, MS 24864",
84923.39536,7.2,4,13,43231.6173,194335,"995 Carter Haven
North Raymondchester, PA 75389",
63233.73313,4.92,19,4,49272.461,110626,"05706 Ochoa Points Suite 263
North Craig, MH 98488-6772",
53776.63203,6.76,13,9,29324.00264,978766,"75906 Marissa Ville Apt. 047
Robinsonside, MN 51149",
67125.14983,4.96,4,3,22651.11135,997827,"3703 Mark Stravenue
Jenniferland, VT 47784",
66007.93861,6.35,6,18,45399.55912,106220,"9606 Sanford Villages Apt. 846
Piercestad, CT 72842-3325",
64838.4929,6.43,15,9,32921.01007,138217,"Unit 2193 Box 7909
DPO AA 47323-2101",
83889.43598,6.53,20,5,17957.86337,128174,"4641 Romero Branch
Port Adam, OH 48769",
78846.27009,6.72,12,14,41261.18878,159266,"89757 Mcfarland Cove
South Ronaldport, LA 62288-5973",
72556.20088,5.38,16,9,31487.03672,124755,"796 William Skyway Apt. 402
West Tyrone, VI 81186-6677",
62069.76279,5.53,16,11,27098.84396,779207,"47492 Phillips Trail Apt. 262
Mariohaven, MH 00956",
88697.61952,4.73,3,17,29935.90416,122276,"649 Brandon Ways
New Jennifer, GA 81262",
57216.21282,6.85,3,4,35046.01314,138071,"773 Zachary Turnpike
South Vanessamouth, NJ 83757",
53712.14081,4.22,12,12,31913.69653,704884,"151 Luna Landing
Brandtmouth, RI 02975",
77330.79471,5.93,20,3,49571.1057,153048,"26425 Tasha Trace Suite 683
North Kristinbury, UT 69027",
66556.38765,6.32,5,15,45325.65586,178041,"7287 Mullen Burg Apt. 284
Housetown, VA 71506-7091",
74864.37031,6.33,18,6,46250.65372,170966,"19834 Rodriguez Lights Suite 480
Parkchester, MS 20288-6598",
62561.56095,4.72,5,19,37446.16768,852565,"993 Lowery Villages Suite 537
Warnerhaven, MD 10412",
77821.62437,5.25,4,3,33932.54516,118531,"58847 Mccormick Isle Apt. 081
North Patrickborough, NJ 31166-7988",
79579.993,5.8,4,13,43214.76502,179509,"USNV Walker
FPO AE 81668-3821",
69923.34867,4.09,10,18,45202.13987,956241,"65132 Sharon Manors
Maynardmouth, MI 60210-9659",
63879.68073,4.87,16,8,56266.97406,122445,"85285 Kayla Walks
Garnerberg, MA 84386",
59154.68474,4.48,9,18,26567.50608,552279,"0880 Torres Views
Lake Seanside, ND 47671",
52835.26226,7.74,8,3,34537.001,118635,"1813 Shawn Canyon Apt. 761
East Kennethfurt, LA 37064-8900",
63750.37363,7.37,7,4,47248.05759,158226,"079 Cruz Walks
Gregoryfurt, IL 39580",
81741.63202,5.48,8,11,29755.50821,147802,"508 Watson Motorway
Kirbychester, NJ 76201-4719",
77594.60276,6.54,13,13,24293.63308,138630,"878 Shawn Ford Suite 912
Aaronburgh, NC 90513-9301",
79843.14633,5.77,16,7,42452.94119,142478,"006 Benson Camp Suite 290
Lake Tracy, AL 36317-8259",
77081.68075,3.64,8,12,40080.43542,120693,"72956 Jessica Stravenue
Bethanyshire, CT 67149-6278",
70713.64043,4.81,18,4,29436.45405,120928,"809 Harrington Forges
Smithstad, PW 59127",
63797.99896,5.75,9,17,26626.53416,102986,"2765 Smith Mission
Baldwinton, LA 68900",
45914.01122,4.89,3,19,26309.23832,300464,"7976 Richard Plains Apt. 958
Lake Abigail, IN 02827-4222",
88190.46896,5.14,9,19,25177.48795,129427,"002 Katherine Flat
Hartmanland, AZ 37973-3049",
72010.79507,5.64,5,19,16376.64122,125175,"456 Nicole Canyon
New Valerieside, CA 37155",
52420.52553,7.32,15,2,39766.41957,112840,"35923 Melody Union
Huffmanville, AK 21375",
74748.15451,5.42,1,6,36071.7552,136366,"467 Emily Rapids
New Bradleyside, MI 74897",
80913.46083,5.56,18,2,30034.33954,117774,"642 Ashley Burg
Jennifershire, KY 79760-6173",
59480.04567,5.2,18,14,43703.77758,980274,"99990 Miller Way
Russellberg, MN 31202",
80951.28339,5.45,14,1,38990.80712,152411,"3027 Pamela Trail Suite 457
South Veronica, NC 79350",
63856.3085,7.45,17,2,31114.8974,131190,"9912 Smith Roads Apt. 591
Lake Stacey, AR 95418-6029",
74727.88857,5.79,14,19,27639.05883,111999,"68583 Allen Centers
North Masonhaven, ME 51493-3022",
78095.35263,6.83,20,11,32346.43499,153892,"165 Rebecca Run
South Hannahport, LA 92436-6494",
69689.6297,4.06,15,14,27438.68941,843633,"5831 Lisa Road Suite 705
East Nathan, VI 05521-1350",
54973.19372,5.42,1,12,40412.72218,903301,"5073 Spencer Station Suite 444
Toddfort, MO 95614",
62571.35286,5.94,16,4,41465.11563,116199,"86533 Gould Hills
Garciachester, DE 09135-4735",
69370.93005,5.14,10,7,33732.46287,733299,"1732 Barbara Overpass
Hillmouth, DC 64884",
82415.25237,7.05,11,2,46297.58121,183793,"8901 Lisa Isle Apt. 035
North Tammiechester, NC 23048-4036",
52864.75931,5.99,14,5,39156.98102,962028,"15502 Hailey Courts
West Melissaton, GA 00663",
65855.86324,6.56,17,4,45528.53724,147776,"88428 Campos Path Apt. 890
North Joshuashire, AZ 84342-5757",
61310.28003,7.95,4,14,33201.05371,141934,"29337 Gabrielle Mission Suite 631
Loganfort, MS 10959",
39411.65279,4.38,14,9,45851.3983,539483,"1085 Michele Glens Apt. 517
Sergiotown, VT 20367",
77265.7483,5.38,14,18,21558.37575,109770,"270 Sarah Vista
North Jessicatown, MP 84920-3221",
74777.76433,6.33,5,5,30013.29805,141227,"300 Larry Drive Apt. 188
Maychester, GU 63293-8809",
67474.2798,3.27,6,18,34971.53955,101344,"6700 Burns Summit Apt. 752
Munozmouth, PR 33205",
68848.19668,6.77,18,12,25880.41441,893919,"140 Alvarado Center
Hessview, OR 63586",
66148.03832,6.32,17,10,31574.41047,123453,"77597 Connie Harbors
Robertville, DC 21128-0453",
63595.95836,6.12,14,20,19345.40638,864702,"904 Jennifer Pass
East Carolyn, NE 80148-8850",
60741.56973,6.25,7,8,24534.37105,977024,"5432 Walker Island
North Richardchester, AS 42587",
73540.62894,4.42,17,6,39756.36603,936148,"12715 Short Squares Suite 017
Leahburgh, PR 77137-6937",
74633.9417,5.74,11,12,30600.60461,105697,"132 Allison Rapids
Yvonnefurt, NC 14633",
62016.68605,5.76,1,13,35750.28631,104060,"PSC 0939, Box 2872
APO AE 84646",
84249.8608,5.86,13,5,44571.37813,164110,"3067 Monica Junctions
New Jamie, NY 50202",
44247.14904,6.45,5,5,22011.94593,503065,"1377 Moran Wells
Richardburgh, IL 33834-1305",
59473.98832,6.92,16,19,41215.29823,129614,"27645 Kline River
Port Samuelside, GU 06730",
67839.38147,6.9,5,2,26377.26824,116420,"43918 Carpenter Village
Lindsayborough, WY 68856-0092",
62972.00399,7.16,19,19,33869.89954,999814,"76984 Adams Stream
Jamesview, AZ 00532-4427",
61162.58025,5.89,9,19,36033.70143,106089,"06275 Ross Mills Suite 054
Lisastad, DC 67330",
87472.25699,5.54,1,1,48306.7974,184863,"29279 Jermaine Plain
Morrisland, SC 37248-4063",
48692.97596,4.59,15,1,36239.39412,617157,"520 Love Hill
Port Scottview, NC 38932-2657",
67858.50166,4.94,13,8,29708.75808,857697,"PSC 8501, Box 9843
APO AP 98266-5428",
72332.05826,5.74,9,2,45804.32891,125343,"87019 Russell Port Apt. 950
Rhondastad, KY 27693-9413",
80775.9033,6.14,4,20,26601.55793,163509,"62969 King Junctions Apt. 619
Maryton, NY 45618",
