Avg. Area Income;Avg. Area House Age;Avg. Area Number of Rooms;Avg. Area Number of Bedrooms;Area Population;Price;Address
6.146.149.681;5.31;9;6;4.968.803.647;1426;1669 Gray Meadows Apt. 793
South Christinafort;" MN 47180""";;;;;
7.269.259.086;6.26;20;16;3.312.549.643;1725;6340 April Orchard
South Craig;" SD 65854-3373""";;;;;
7.970.238.615;6.76;2;12;4.627.033.064;1753;492 Hernandez Hollow
Vargaschester;" AK 64306-1547""";;;;;
5.499.491.829;5.18;8;14;1.544.448.261;3210;821 Potts Spring Apt. 878
New Janice;" AL 55178-7547""";;;;;
5.732.798.859;6.61;16;2;28.945.546;1089;0703 Harding Rest
East Jo;" LA 45172-7688""";;;;;
745.858.398;4.49;17;5;4.805.164.765;1137;6665 Victor Cliff
South Davidburgh;" ND 97340""";;;;;
7.733.428.651;4.86;19;16;3.790.598.378;1371;270 Bonilla Mountains Suite 148
Brennanfurt;" OH 46989-4992""";;;;;
7.713.279.554;7.25;9;14;4.745.066.815;1595;07646 Jenkins Glens
Philipville;" UT 70049-6737""";;;;;
9.677.812.107;4.56;13;5;3.748.070.005;1899;715 Armstrong Burgs Suite 894
East Christopherburgh;" NJ 68031-3600""";;;;;
5.204.654.354;5.82;14;8;4.171.554.558;6746;378 Reyes Courts
West Joseph;" ME 85342-6948""";;;;;
7.835.059.665;7.46;16;11;2.305.284.681;1555;193 Terri Bridge Suite 747
Lewisport;" NE 78007-9185""";;;;;
6.160.203.813;5.43;20;3;4.518.813.964;1194;88076 Cooper Station Apt. 476
Whiteland;" MP 67794""";;;;;
8.445.245.507;5.1;15;11;3.822.113.575;1482;PSC 7487, Box 2783
"APO AA 75396""";;;;;;
8.471.291.002;5.95;10;13;1.107.249.853;1154;9563 Martinez Road Apt. 461
Loweville;" VI 15095-3171""";;;;;
6.149.292.159;6.2;16;12;3.774.340.275;1050;8136 Stephanie Knoll
East Ashleymouth;" MA 20672-6561""";;;;;
3.797.120.757;4.29;17;4;3.326.776.773;3114;98398 Terrance Pines
South Joshua;" MT 00544-8919""";;;;;
7.315.873.965;7.93;7;10;2.517.543.125;1748;2341 Rachel Turnpike
Lake Julie;" DC 21341-5283""";;;;;
7.462.216.435;7.48;14;1;3.073.652.839;1287;566 Tracy Lodge
Alexastad;" IA 27350""";;;;;
5.895.626.185;7.36;13;3;3.852.964.117;1237;005 Kent Lane
West Elizabeth;" NE 84405""";;;;;
6.925.390.435;6.18;13;20;2.252.457.848;1259;355 Zavala Field
South Josephview;" GA 19634""";;;;;
4.754.963.997;6.36;10;1;4.352.616.153;1028;573 Christian Village
Andrewbury;" IL 41004-2204""";;;;;
7.327.188.723;5.89;18;6;3.944.631.306;1388;318 Hernandez Burgs Suite 441
North Brandi;" NY 50592""";;;;;
6.147.863.393;4.26;10;17;3.683.781.793;6371;48724 Ryan Estate
Berryfort;" DC 89338-7003""";;;;;
6.231.721.427;7.56;17;3;4.783.624.614;1717;6928 Christina Inlet
Sabrinaton;" MD 21635-1363""";;;;;
6.546.419.839;4.67;5;8;2.606.569.266;7296;8041 Donald Villages
West Harold;" GA 09192""";;;;;
8.788.358.429;7.6;12;13;4.101.262.101;2049;PSC 2506, Box 1317
"APO AE 26084""";;;;;;
6.781.925.458;6.54;18;1;37.515.539;1340;6243 Harding Summit Suite 030
Fordmouth;" GA 31912""";;;;;
6.565.958.698;7.15;2;9;4.033.723.425;9809;869 Acevedo Cliff Apt. 769
North Michael;" NM 00441""";;;;;
6.882.755.503;5.87;17;1;4.593.596.164;1518;081 Maria Gateway Suite 913
Davidville;" TN 53584-5691""";;;;;
7.115.275.617;3.05;2;3;409.512.393;1002;31678 Kevin Garden
Jamesside;" LA 56516-6482""";;;;;
8.093.963.457;6.33;8;2;2.777.154.451;1499;7084 Turner Crossing Suite 917
New Mary;" AL 17062-1557""";;;;;
6.686.059.191;7.83;9;1;360.355.419;1496;054 Corey Shore Apt. 224
Nataliemouth;" MA 44975-6855""";;;;;
643.145.062;7.61;9;17;3.721.764.338;1526;96225 Evan Springs Suite 707
New Traviston;" SD 22484""";;;;;
6.386.710.459;6.39;15;19;1.452.265.907;9176;615 Alexander Plains Suite 955
West Alisonberg;" VA 45700-1303""";;;;;
8.122.007.057;6.26;14;20;3.285.951.765;1572;638 Lee Stream Suite 784
Mcclainview;" AS 53593""";;;;;
6.088.058.387;6.08;17;16;4.287.751.749;9594;3052 Karen Rue
North Mark;" MP 46431-8517""";;;;;
6.655.339.912;5.64;20;16;2.363.223.041;9600;49944 Antonio Bridge
Spencerchester;" VI 61152-1552""";;;;;
72.896.248;6.05;4;3;404.265.267;1526;6403 William Alley Suite 863
New Laura;" LA 86502-4020""";;;;;
5.916.009.335;6.26;18;11;2.325.290.621;1006;PSC 6566, Box 9029
"APO AP 49388""";;;;;;
6.641.282.665;5.43;10;7;5.099.664.476;1105;74810 Luis Freeway Apt. 770
Shannonbury;" NE 37690-1587""";;;;;
6.702.644.049;5.62;13;13;2.767.788.278;6258;3881 Brown Vista
Sharonburgh;" DC 35897-2870""";;;;;
7.715.191.217;7.7;5;15;2.711.779.843;1799;80069 Potter Stream
Lake Brandon;" MD 94232-0817""";;;;;
6.979.915.198;5.68;10;7;383.407.314;1152;Unit 9088 Box 5092
"DPO AP 61699-0044""";;;;;;
5.576.879.192;5.35;14;1;4.798.968.021;8460;0041 Brett Heights Suite 519
Annefurt;" ID 69704""";;;;;
8.169.917.667;6.34;1;16;1.950.202.714;1387;762 James Lake
Philiphaven;" FL 02184""";;;;;
5.736.783.189;5.71;16;12;4.773.410.221;1414;9546 Harris Drive Apt. 086
Lake Daniellechester;" VT 75670""";;;;;
8.048.878.931;5.15;19;15;3.674.326.834;1273;67397 Thompson Plaza Apt. 728
Lawrencefurt;" MS 06637""";;;;;
6.809.117.968;5.36;13;6;4.455.737.966;1489;1836 Shaw Lane Apt. 733
Gracetown;" PW 83118-5264""";;;;;
8.258.758.644;5.71;17;4;5.593.222.273;1765;0870 Dylan Islands
Jameschester;" DE 28165-2437""";;;;;
5.740.772.341;7.07;10;2;271.178.921;9341;984 Ford Run
South Paulberg;" IN 71636""";;;;;
6.433.246.664;4.18;15;10;3.081.259.819;1095;183 Joshua Squares Apt. 379
New Cory;" GU 09591""";;;;;
6.603.973.844;4.87;17;4;1.561.267.721;8763;4725 Briana Hill Suite 003
West Ashley;" CO 79945-8862""";;;;;
6.239.707.973;5.87;8;10;4.073.987.735;8549;26518 Hunt Manor
Ellisfurt;" MD 25316""";;;;;
8.481.086.807;6.24;9;15;2.839.229.036;1349;25483 David Loop
Jeffreyport;" ME 55376""";;;;;
6.705.125.027;4.45;13;9;3.973.570.449;9708;2340 Anthony Hollow
Freemanside;" MT 89267""";;;;;
8.390.737.141;6;8;1;4.609.178.913;1796;8244 Shawn View
New Michellebury;" ND 54800-0758""";;;;;
623.458.226;5.36;17;18;4.198.290.667;9344;704 Christina Parkway
Rebeccatown;" ME 17081""";;;;;
6.096.046.354;3.69;8;19;2.817.198.501;5840;238 Garcia Station
East Kevinfort;" KY 10500""";;;;;
6.835.372.575;5.18;12;17;2.780.483.013;8958;5833 David Avenue
Joseland;" PA 37286""";;;;;
586.615.568;6.56;1;12;1.746.794.423;6960;2947 Debbie Landing
Williamfort;" ND 81224-4007""";;;;;
6.613.100.223;6.42;19;10;4.097.953.039;1204;2919 Cohen Locks Apt. 284
West Jeremystad;" MP 90078""";;;;;
6.735.123.819;5.78;10;2;4.717.578.766;1413;420 Cooper Centers Apt. 190
Oneillton;" PA 12326-4566""";;;;;
5.993.313.799;5.46;9;15;2.859.300.921;6078;43007 David Viaduct Apt. 280
Hinesland;" GU 59831""";;;;;
6.084.049.097;5.4;17;4;3.624.130.099;9710;653 Elizabeth Haven Suite 794
New Gina;" NV 81990-3134""";;;;;
9.471.211.582;5.43;11;8;4.941.188.783;1714;9627 Marvin Roads Suite 413
Annetteberg;" GU 40249""";;;;;
7.446.921.357;6.68;5;15;4.650.005.743;1956;712 Donna Place Suite 070
South Heatherton;" WI 38056-6074""";;;;;
7.875.339.011;6.18;14;6;5.035.027.065;2013;57421 Martin Union Apt. 932
Sheliabury;" AK 80914-6049""";;;;;
802.332.283;5.33;13;11;2.626.305.496;1390;085 Solomon Avenue Apt. 122
Owenschester;" HI 58030""";;;;;
8.447.327.338;5.33;17;10;3.160.806.227;1529;3637 Snyder Flats Apt. 168
Dawnbury;" WA 31077-5026""";;;;;
7.804.960.465;3.52;7;18;4.285.737.096;1143;26958 Doris Turnpike Apt. 520
Gordontown;" MS 10798-7400""";;;;;
931.784.867;6.31;9;20;4.280.864.778;1949;968 Thomas Dale
West Adrianstad;" HI 03715-0829""";;;;;
6.994.935.407;5.21;6;14;3.735.820.127;1057;30791 Johnson Passage
South Chelsea;" GA 08403""";;;;;
8.590.337.586;5.66;19;19;2.559.311.792;1585;043 Castillo Extension Suite 128
Robertton;" NH 79785""";;;;;
6.528.363.689;5.57;5;10;3.782.471.167;1168;781 Erickson Plains Apt. 195
Ryanfurt;" CT 69748""";;;;;
7.919.181.762;7.14;17;3;3.510.713.908;1431;63414 Barbara Lane Apt. 338
East Amandatown;" CT 45499-4725""";;;;;
7.224.259.666;4.76;1;20;4.398.787.713;1409;626 Phyllis Pine Apt. 081
Lake Samantha;" SC 71938""";;;;;
6.312.575.538;7.16;1;16;5.121.899.899;1496;82924 Cindy Islands Apt. 673
Amymouth;" MD 33351-2292""";;;;;
785.812.619;5.55;11;15;5.089.120.239;1566;2205 David Coves Suite 961
Medinashire;" LA 81653-3099""";;;;;
5.948.178.201;4.77;9;4;3.120.096.783;9861;385 Cameron Drives
West Tiffanyfort;" FL 72018-5556""";;;;;
6.677.022.003;5.05;14;20;3.323.833.274;8856;69794 Gutierrez Forge
Derekton;" KS 52626-5730""";;;;;
7.536.858.869;5.74;2;3;3.207.526.752;1102;PSC 9750, Box 8010
"APO AE 32543""";;;;;;
6.041.989.076;6.85;12;1;3.827.292.156;1268;3518 Justin Locks Suite 561
Bridgetport;" VT 61702-9277""";;;;;
785.551.295;7.6;11;9;3.451.415.856;1580;00149 Raymond Knolls
New Jason;" UT 75026""";;;;;
8.207.352.162;5;18;19;3.633.702.712;1128;59227 Caitlin Village Apt. 363
Jameshaven;" SD 84032""";;;;;
6.425.416.327;5.09;20;2;5.805.103.905;1524;9055 Underwood Extensions Suite 383
Parksmouth;" AS 32380""";;;;;
5.343.258.657;6.67;4;8;3.680.494.867;1176;33116 Guzman Extensions
West Jacquelineland;" MA 77004""";;;;;
6.788.312.867;7.14;17;11;3.463.941.154;1456;528 Mary Stream
Hernandezfort;" UT 06463-1898""";;;;;
9.183.298.969;6.12;20;3;3.110.511.339;1777;6789 Jacqueline Mount Suite 847
North Susantown;" IA 57584-3307""";;;;;
7.067.087.889;6.58;10;17;2.359.215.759;1237;5319 Martin Gardens
Shaunburgh;" MN 99631""";;;;;
7.031.542.927;5.87;8;15;4.969.793.279;1385;29012 Jordan Islands
Wolftown;" LA 74799""";;;;;
4.836.298.195;6.15;2;12;4.935.412.973;1035;472 Hicks Park
South Michelle;" VT 13422""";;;;;
7.402.213.942;6.74;14;12;3.005.343.719;1358;Unit 7807 Box 8697
"DPO AA 50317""";;;;;;
6.518.271.263;4.85;4;17;481.091.123;1311;8336 Williamson Mountain Apt. 487
Caseyshire;" ID 82582-8714""";;;;;
5.404.869.105;4.39;8;2;4.217.796.629;9199;855 Kimberly Flat
North Brenda;" RI 86613-4043""";;;;;
7.228.394.853;5.27;13;13;4.027.739.454;9858;440 Anthony Mission
South Sheilachester;" NC 81707""";;;;;
8.247.602.893;4.92;19;20;3.098.533.652;1196;5431 Jessica Expressway
Wrightshire;" AL 12862""";;;;;
7.977.183.047;6.48;13;11;3.061.154.333;1435;44050 Baker Light Suite 940
Mcdanielchester;" NV 62238""";;;;;
5.723.616.689;3.94;20;3;2.472.610.474;7528;085 Hall Hills
New Frederick;" WA 81713-3087""";;;;;
4.395.233.621;5.41;2;19;2.513.944.994;3249;672 Samantha Stravenue Apt. 802
Emilyshire;" TX 04694""";;;;;
5.672.145.495;7.14;5;9;2.290.414.664;1127;41545 Peter Expressway Apt. 766
Carrstad;" SD 26832-7957""";;;;;
5.665.496.239;5.18;10;18;2.580.196.593;2393;3677 Gamble Road Apt. 473
Lake Laurie;" MO 96320-4134""";;;;;
4.018.573.389;5.94;9;18;3.776.666.757;5292;551 Bradley Lock Suite 096
Shanefort;" MH 03266""";;;;;
7.122.738.881;6.99;20;16;2.009.629.142;1455;10454 Gonzales Summit Apt. 065
Chambersstad;" AL 93059-4957""";;;;;
5.244.486.386;8.19;8;19;3.928.846.015;1371;95608 Nunez Cliffs
Millerland;" PW 96516-2702""";;;;;
5.682.574.733;6.55;20;13;4.347.477.738;1231;09035 Yolanda Lakes Apt. 617
Camachoside;" NV 38241""";;;;;
556.218.991;3.73;20;10;6.318.461.315;1102;704 Davis Valleys Suite 264
Collinstown;" DE 61159""";;;;;
6.651.000.932;5.04;2;16;2.929.361.895;7582;108 Wendy Heights Suite 575
South Dawntown;" FL 32058""";;;;;
6.263.915.981;5.55;1;6;2.781.268.591;4769;4540 Henderson Canyon Apt. 901
Turnerton;" GA 09258-6031""";;;;;
7.945.282.306;6.14;3;7;448.520.925;1706;548 Lawrence Wells Apt. 239
West Emma;" AK 13256""";;;;;
8.313.739.364;5.39;3;3;3.048.256.459;1079;Unit 1552 Box 3165
"DPO AE 06786-3524""";;;;;;
6.914.347.076;4.98;7;4;2.440.528.272;7665;5762 Davis Islands
North Bradley;" IA 86152""";;;;;
6.827.767.278;5.93;10;16;3.809.986.749;9050;24421 Lang Terrace Suite 680
New Peggy;" WI 56339-7796""";;;;;
7.225.103.755;6.66;9;10;3.487.859.725;1425;821 Thomas Lock
West Pamela;" ME 68927-5573""";;;;;
7.137.397.904;5.46;13;8;5.150.959.929;1512;206 Hayden Pass Apt. 154
Mendozastad;" SC 79371""";;;;;
8.150.347.406;6.77;11;6;4.667.436.501;1650;474 Sanford Creek
Seanmouth;" MA 72287-3448""";;;;;
6.056.919.993;7.6;5;8;1.635.120.287;1112;99704 Carroll Squares
Lindatown;" NH 36394""";;;;;
7.268.352.988;6.03;15;17;185.391.007;9425;1512 Jamie Inlet Suite 784
Grimesside;" ID 88370-3426""";;;;;
7.376.356.611;6.41;17;7;3.855.070.736;1642;769 Alexander Ranch
Clarkberg;" MS 67017""";;;;;
7.578.062.112;5.1;1;17;3.494.498.176;1078;514 Hanson Garden Suite 188
Hamiltonstad;" NC 25641-9151""";;;;;
7.788.287.702;6.1;3;2;2.752.874.642;1333;4594 Megan Fall Suite 136
East Jaredfurt;" MA 40874""";;;;;
7.060.837.229;4.43;7;9;243.876.079;6840;4178 Mcneil Lights
North Dawnshire;" PA 34945-8793""";;;;;
6.778.287.109;5.67;19;2;4.660.822.612;1311;57864 Andrew Ranch Suite 556
North Alishafurt;" AK 32981-0368""";;;;;
5.771.475.253;4.96;4;1;5.310.099.891;1172;107 Reid Estate Suite 323
Johnstad;" MI 66292-5193""";;;;;
886.138.699;3.47;20;9;4.290.509.538;1419;611 Lauren Flat Suite 569
Lake Mary;" IN 77960-4493""";;;;;
7.355.942.856;6.15;3;15;343.745.912;1288;37058 Chris Route
South William;" VT 39597""";;;;;
8.177.562.655;5.77;7;20;3.007.072.806;1500;879 Jones Dale Apt. 502
West Kristin;" UT 41479-6892""";;;;;
4.246.209.959;6.03;8;6;4.219.177.602;1000;5860 Angela Landing
Port Phillip;" RI 06555-6716""";;;;;
7.209.685.211;6.39;6;20;3.158.437.937;1457;44822 Little Lake
Waynetown;" PA 79649-4781""";;;;;
4.392.199.999;5.85;2;7;4.225.079.603;7479;3112 Wells Parkway Apt. 414
South Emilychester;" MD 63012""";;;;;
6.411.495.832;6.61;19;16;2.527.320.785;1024;092 Melanie Vista Suite 316
Lake Kathystad;" ND 52672-8629""";;;;;
7.757.387.071;4.97;14;13;3.905.511.426;1517;6481 Cox Island
Angelastad;" PW 67519-1207""";;;;;
7.003.683.153;6.29;12;14;2.506.426.712;9538;537 Petersen Common Suite 992
East Marymouth;" MP 64010""";;;;;
7.118.373.751;5.4;3;10;4.695.501.013;1375;1442 Elizabeth Rue
North Jasmine;" ID 74627-1634""";;;;;
6.731.559.537;6.63;16;1;3.781.120.888;1645;30425 Steven Loop Apt. 820
Alexiston;" VA 51592-3127""";;;;;
7.281.380.169;8.54;5;17;3.501.484.821;1727;309 Ortiz Burg Suite 125
West Lisa;" VI 49031-0820""";;;;;
7.302.332.561;5.69;8;13;4.051.289.327;1597;981 Tabitha Point
Candiceland;" IN 88442-5459""";;;;;
6.756.987.705;7.05;10;12;490.548.713;1688;27060 Angela Pines
South Amber;" IN 40642-8983""";;;;;
6.997.285.225;6.44;19;4;3.781.549.404;1398;8056 Angie Plains Suite 840
Hallbury;" AK 63242-2700""";;;;;
7.323.105.159;5.45;19;7;4.078.810.928;1100;27298 Lauren Square
Jenniferchester;" AZ 53597-7001""";;;;;
8.057.773.068;5.9;4;7;3.646.303.327;1505;9947 Williams Mountains
West David;" MT 44384""";;;;;
6.475.456.545;7.56;2;8;2.714.301.692;1105;000 Todd Pines
Ashleyberg;" KY 90207-1179""";;;;;
5.543.564.378;5.13;8;6;2.350.316.064;7890;791 Kelly Street
Stanleyton;" NV 10317""";;;;;
6.551.066.003;4.34;15;10;4.511.181.139;7563;PSC 2733, Box 2603
"APO AE 48198-5637""";;;;;;
82855.94;6.81;1;18;3.695.433.556;1856;82519 Natalie Divide Suite 931
North Alfredside;" AR 41817""";;;;;
8.933.845.337;3.98;13;18;4.126.490.672;1222;15919 Anthony Center Suite 276
Cunninghamville;" IA 87691-3881""";;;;;
4.599.012.374;6.78;10;8;4.155.383.956;1043;237 Stephanie Corner
West Thomas;" FL 46330""";;;;;
7.680.149.678;6.26;11;12;4.848.166.451;1673;69955 Kenneth Garden
Brandonstad;" GU 24710-6505""";;;;;
6.160.692.174;6.89;13;17;4.049.606.977;1325;Unit 9785 Box 0790
"DPO AP 60371-0797""";;;;;;
654.283.117;6.52;2;14;3.314.130.823;1236;89223 Walter Roads
New Michelle;" NE 63488-7495""";;;;;
5.669.758.515;6.39;16;4;3.797.336.334;1030;981 Gray Way Suite 788
Juliefurt;" SC 97233""";;;;;
9.215.166.658;5.64;4;14;3.706.768.246;1609;53516 Michael Greens
South Scottbury;" MP 82773""";;;;;
7.855.593.285;5.9;6;14;2.975.899.972;1292;6513 Terrell Camp Suite 520
South Tiffanytown;" TX 35726""";;;;;
7.220.415.622;5.33;10;12;2.894.315.764;1057;565 Lee Glens Suite 921
Austinland;" MI 07393""";;;;;
5.174.187.097;7.69;6;15;3.273.092.971;7681;107 Archer Inlet
South Megan;" ME 03090""";;;;;
7.108.211.278;7.6;2;10;3.132.751.888;1513;967 Susan Union Apt. 653
Costastad;" IA 98079-8428""";;;;;
7.132.870.444;6.62;19;3;280.530.164;1429;510 Williams Inlet Apt. 674
New Timothymouth;" TN 72339""";;;;;
6.715.006.069;6.44;5;9;3.991.787.889;1376;16913 John Fall
New Lisa;" NM 04867-0517""";;;;;
5.977.737.269;4.68;16;3;3.783.651.782;6147;73229 Andrew Trace
Alyssastad;" WA 60269-5659""";;;;;
6.272.540.054;5.96;2;20;1.975.068.908;7806;812 Salazar Ford
Tylerhaven;" MI 62448-7958""";;;;;
6.553.341.492;5.94;1;1;2.500.219.225;8565;PSC 4589, Box 3480
"APO AA 84355-0532""";;;;;;
7.829.370.356;5.96;14;16;4.712.553.294;1656;3114 Garcia Centers
Bettyport;" SD 06524-6877""";;;;;
7.437.133.688;6.72;17;8;3.318.670.176;1249;784 Gray Gardens Suite 341
West Michael;" WA 27160""";;;;;
5.666.440.439;6.92;12;9;2.836.428.666;8174;7022 Smith Cliffs Apt. 317
Moseschester;" MI 12476-3003""";;;;;
6.005.890.615;6.36;12;15;3.358.182.371;9908;37513 Robert Courts
New Sarahfurt;" PR 15188""";;;;;
6.375.705.147;5.8;13;7;2.724.443.911;9720;5098 Pittman Spring Apt. 987
Heathershire;" CO 24944""";;;;;
8.102.660.678;6.27;20;17;2.440.724.318;1349;USCGC Johnson
"FPO AA 50443-5069""";;;;;;
8.368.336.054;6.08;19;18;3.839.983.571;1303;715 Jones Glens
New Melanieborough;" DC 66078""";;;;;
56.103.917;4.72;3;9;4.133.060.856;5937;7291 Tammy Run
Farrellside;" HI 31913-1175""";;;;;
674.542.131;4.83;6;19;4.923.740.432;1243;206 Huang Junction Suite 611
West Samanthashire;" NH 29756""";;;;;
6.763.123.514;8.3;4;12;246.246.478;1395;3127 Melanie Neck Apt. 951
Davisbury;" DE 43748""";;;;;
529.880.296;6.99;3;6;3.779.101.751;1112;775 Leach Shore Apt. 133
West Donaldside;" FL 03465-3770""";;;;;
5.954.991.391;6.6;1;12;1.490.624.662;8500;2196 Lowe Glen
Mitchellfurt;" ME 99955-5825""";;;;;
5.883.250.404;5.81;2;20;3.020.010.651;9317;93907 Gross Mall Apt. 112
Randyport;" ND 03786""";;;;;
7.671.737.134;5.44;16;15;349.440.686;1011;39152 Henderson Lights Suite 980
New Michaelfort;" MH 75123-0177""";;;;;
734.228.322;5.32;13;8;5.099.764.971;1190;71055 Margaret Stravenue
Jesusshire;" FM 69643-5179""";;;;;
5.912.831.877;5.88;9;20;4.559.238.758;9161;2497 Williams Meadows
Lake Meganton;" OK 76795""";;;;;
6.561.478.487;5.34;17;18;3.935.368.393;1222;55752 Erica Springs
South Deborahberg;" AK 58067-2651""";;;;;
68.851.402;7.06;6;11;2.212.154.729;1232;4756 Christopher Lane
Lake Lauraborough;" MT 35794-4306""";;;;;
4.353.185.659;6.45;10;11;373.888.526;6527;12008 Lee Parkway Suite 046
Summerston;" CT 95726-5540""";;;;;
5.376.352.801;7.33;1;14;3.230.666.852;1219;34265 Coleman Flats
Rothfort;" KY 38490""";;;;;
6.894.840.633;8.48;3;17;4.007.854.357;2050;61907 Jeffrey Street Suite 887
Cummingsberg;" IN 54323-4230""";;;;;
7.079.529.885;6.21;16;16;2.988.745.168;1359;370 Huynh Turnpike
Troyfort;" NH 25371""";;;;;
7.244.369.473;5.04;19;13;311.906.707;1308;795 Mathis Valley
Lake Judyhaven;" OK 97082-1217""";;;;;
8.278.164.934;5.66;20;10;3.958.795.296;1573;064 Eric Isle
West Carlos;" MS 38813-0363""";;;;;
6.742.864.356;5.49;17;19;4.089.702.521;1182;PSC 1211, Box 3865
"APO AA 83963""";;;;;;
6.584.130.879;5.58;6;2;4.825.327.664;1029;92901 Ray Green Apt. 953
Ricehaven;" FL 10526-1650""";;;;;
7.225.750.957;5.04;2;19;3.354.304.806;1085;894 Kelley Forks Apt. 702
Port Joanne;" AR 01028""";;;;;
7.424.374.684;6.25;12;14;4.032.823.344;1713;PSC 6960, Box 0333
"APO AA 78454-0482""";;;;;;
7.175.858.762;6.17;11;14;4.211.514.602;1297;PSC 0599, Box 0119
"APO AP 10621""";;;;;;
6.751.112.733;6.67;11;3;2.316.254.734;1096;3419 Smith Orchard Suite 230
Port Jacob;" DC 58275-0126""";;;;;
7.130.100.707;7.28;2;6;4.486.950.695;1920;1039 Douglas Creek
Lake Sarah;" RI 65939-0004""";;;;;
5.578.447.534;8.11;13;12;2.930.417.222;1035;424 Crystal Landing Suite 616
Port Garystad;" KS 50589-4622""";;;;;
6.684.069.532;6.7;17;15;3.270.594.933;1218;628 Peterson Locks Suite 809
Meyermouth;" KY 45309""";;;;;
5.809.804.984;7.35;17;18;4.329.901.077;1106;USS Noble
"FPO AA 64897-0998""";;;;;;
6.625.214.479;5.23;2;4;3.365.623.096;6649;38431 Gomez Motorway
Patriciahaven;" AS 32966""";;;;;
7.322.620.051;6.72;14;18;3.046.404.404;1316;77306 Ann Plains
Toddchester;" VT 06518-1374""";;;;;
7.013.851.256;6.31;13;19;3.343.411.259;1398;PSC 2070, Box 5168
"APO AA 16531-0242""";;;;;;
6.504.169.131;6.2;1;3;1.448.682.595;7597;949 Joshua Route Suite 675
Luiston;" AR 44078""";;;;;
6.816.707.984;5.98;10;19;1.397.762.978;7769;227 Willis Divide
Petersview;" ID 30955""";;;;;
6.130.075.352;5.66;16;20;2.940.894.639;9719;791 Emily Key
North Alexandria;" GU 40441-0920""";;;;;
6.517.554.822;6.57;16;3;298.290.628;1180;5837 Aguilar Parks
Tanyashire;" FM 11641""";;;;;
7.903.752.157;6.04;15;13;3.003.799.135;1201;04705 Pacheco Fields
West Stephanie;" SC 35286""";;;;;
7.598.580.472;6.43;2;17;5.000.308.659;1591;2680 Jennifer Extensions Apt. 775
North Mike;" AK 44839""";;;;;
3.596.333.081;3.43;9;9;244.357.773;1430;166 Terry Grove
South Michaelhaven;" PR 18054""";;;;;
6.506.990.172;6.16;20;7;3.677.829.264;1091;77298 Tracy Valley Apt. 122
Whiteville;" WA 04277""";;;;;
6.071.219.769;6.26;18;2;4.778.330.489;1249;318 Erica Dam Apt. 542
East Kimberlyborough;" GA 75984""";;;;;
774.561.916;7.18;15;2;4.558.192.161;2002;9073 White Hills Apt. 440
Port Ericfort;" DC 95391""";;;;;
6.137.032.349;6.52;8;19;20.600.511;8245;7756 Martin Row
East Kevinside;" IL 31478-4239""";;;;;
7.986.328.594;6.69;2;16;3.504.826.334;1511;622 Duncan Stream
West Timothyberg;" AZ 17463-7935""";;;;;
5.798.095.419;6.15;16;11;250.539.749;9942;0379 Hale Path Suite 053
South Hailey;" NC 34885-9166""";;;;;
6.360.068.699;7.4;5;8;5.353.919.695;1345;636 Bryan Light Suite 972
Port Daniel;" MT 80278-9913""";;;;;
6.211.352.207;5;13;12;2.940.114.446;1166;3978 Jacob Expressway Suite 998
Port Philipchester;" ID 93126-7393""";;;;;
8.281.089.479;7.08;16;4;3.977.964.723;1820;55494 Robin Orchard
East Nicholas;" MP 49146-3130""";;;;;
6.938.083.777;6.18;9;13;253.276.867;1023;5119 Hess Circles
Gouldview;" FM 26660""";;;;;
6.963.204.046;4.69;10;1;3.464.156.508;8893;USS Harris
"FPO AP 57241-4816""";;;;;;
6.037.760.711;3.98;6;16;2.911.428.814;6167;688 Hernandez Place Apt. 978
Marisaland;" NJ 30710-3277""";;;;;
8.210.349.934;6.65;6;1;4.901.528.465;1784;112 Bradley Knoll
North Tylerburgh;" IA 39925""";;;;;
498.562.305;6.81;3;15;5.152.883.585;1050;Unit 6923 Box 8144
"DPO AP 20812""";;;;;;
683.869.825;6.75;16;19;3.789.464.968;1389;USNS Beard
"FPO AA 45652-4890""";;;;;;
7.828.895.759;6.4;12;8;291.973.365;1423;USS Levy
"FPO AP 10092-3601""";;;;;;
6.076.246.566;4.76;17;10;463.033.646;1069;35040 Mark Via
West Stacey;" FL 16909""";;;;;
5.891.330.315;5.48;9;1;4.556.371.701;1007;058 Megan Circles Suite 646
Joyceland;" CA 71806-0166""";;;;;
6.558.005.597;4.63;8;7;4.822.031.523;9243;140 Whitney Alley
Mccartyside;" AZ 49843""";;;;;
770.214.165;6.26;12;4;2.785.539.454;1453;170 Erickson Keys Suite 106
North Cheryl;" RI 98322-7567""";;;;;
7.827.657.243;4.38;14;9;2.137.192.379;7826;5534 Lang Circle Apt. 477
Port Brianshire;" MT 26767""";;;;;
7.133.615.008;4.89;8;1;2.537.713.674;8036;711 Brown Streets
West Christinahaven;" MA 80655""";;;;;
77.528.123;6.86;5;16;2.397.671.385;1439;23394 Jacobson Rapid Apt. 025
Davischester;" AR 89328""";;;;;
6.819.503.375;6.62;13;10;2.692.160.365;1270;714 Snyder Ways Suite 823
Port Patriciaberg;" PA 43026""";;;;;
7.083.402.071;4.3;8;7;5.349.013.478;1347;48921 Jamie Radial
East Lorihaven;" PA 07539-1028""";;;;;
